中文單位名稱,地址,x,y,行政區
臺南市政府警察局,臺南市新營區中正路3號,120.316069,23.305412,新營區
第一分局,臺南市東區崇善路740號,120.23221,22.966547,東區
德高派出所,臺南市東區崇善路740號,120.23221,22.966547,東區
文化派出所,臺南市東區崇明路384號,120.221145,22.976021,東區
莊敬派出所,臺南市東區東光路2段66號,120.231683,22.996924,東區
東門派出所,臺南市東區崇善路55號,120.221626,22.982115,東區
東寧派出所,臺南市東區林森路2段250號,120.224143,22.991745,東區
府東派出所,臺南市東區裕孝路136號,120.243074,22.985735,東區
後甲派出所,臺南市東區富農街1段267號,120.235519,22.984786,東區
第二分局,臺南市中西區南寧街144號,120.200507,22.98535,中西區
南門派出所,臺南市中西區南寧街144號,120.200507,22.98535,中西區
民權派出所,臺南市中西區民權路2段202號,120.201685,22.995588,中西區
博愛派出所,臺南市中西區北門路1段103號,120.211535,22.992567,中西區
海安派出所,臺南市中西區民生路二段273號,120.192271,22.9965,中西區
長樂派出所,臺南市中西區藥王里民權路3段230號,120.193946,22.998098,中西區
中正派出所,臺南市中西區中正路347號,120.194002,22.993373,中西區
第三分局,臺南市安南區安中路3段396號,120.174898,23.049765,安南區
安南派出所,臺南市安南區安中路3段396號,120.174898,23.049765,安南區
安中派出所,臺南市安南區安中路1段788號,120.195489,23.043348,安南區
顯宮派出所,臺南市安南區媽祖宮路50號,120.129857,23.040047,安南區
安佃派出所,臺南市安南區海佃路4段496號,120.173751,23.064433,安南區
長安派出所,臺南市安南區長溪路3段313號,120.197145,23.066616,安南區
土城派出所,臺南市安南區城西街1段40號,120.129082,23.06241,安南區
海南派出所,臺南市安南區郡安路6段135號,120.184017,23.026808,安南區
安順派出所,臺南市安南區安西一街17號,120.210452,23.031514,安南區
和順派出所,臺南市安南區安和路4段569號,120.218519,23.06254,安南區
第四分局,臺南市安平區育平路312號,120.168672,22.994317,安平區
華平派出所,臺南市安平區建平八街2號,120.181929,22.990554,安平區
安平派出所,臺南市安平區安平路27號,120.167661,22.998937,安平區
育平派出所,臺南市安平區育平路321號,120.167153,22.992338,安平區
第五分局,臺南市北區文賢路650號,120.194059,23.009995,北區
立人派出所,臺南市北區西門路3段43號,120.202602,23.001688,北區
北門派出所,臺南市北區北門路2段3號,120.21167,22.997835,北區
公園派出所,臺南市北區文成三路550號,120.201228,23.016212,北區
實踐派出所,臺南市北區北門路二段628號,120.216708,23.011647,北區
開元派出所,臺南市北區開元路145號,120.21946,23.006826,北區
和緯派出所,臺南市北區文賢路650號,120.194059,23.009995,北區
第六分局,臺南市南區中華南路2段241號,120.187897,22.961365,南區
喜樹派出所,臺南市南區喜樹路151巷1號,120.179303,22.941026,南區
鯤鯓派出所,臺南市南區鯤鯓路161號,120.169119,22.961969,南區
新興派出所,臺南市南區中華西路1段67之1號,120.183697,22.974093,南區
金華派出所,臺南市南區金華路2段250號,120.191609,22.981374,南區
灣裡派出所,臺南市南區灣裡路61巷2號,120.181168,22.932818,南區
鹽埕派出所,臺南市南區中華南路2段241號,120.187897,22.961365,南區
大林派出所,臺南市南區大同路2段456號,120.214216,22.973583,南區
新營分局,臺南市新營區中山路119號,120.317713,23.30462,新營區
柳營分駐所,臺南市柳營區柳營路1段785號,120.31234,23.276454,柳營區
