行政區,收容所名稱,地址,經度,緯度,最大容納人數,可支援收容災害類型
新營區,太子爺廟香客大樓,臺南市新營區太子宮45-2號、45-9號,120.273232,23.295408,150,"水災、震災
"
新營區,南新國中,臺南市新營區民治路65號,120.309238,23.309274,1600,"水災、震災
"
新營區,太子國中,臺南市新營區太北140之21號,120.271145,23.291837,400,水災、震災
新營區,新泰國小,臺南市新營區東學路77號,120.32562,23.316346,300,水災、震災
新營區,新興國小,臺南市新營區太南316號,120.275864,23.287544,300,"水災、震災
"
新營區,新營國小,臺南市新營區中正路4號,120.316263,23.307112,1420,水災、震災
新營區,南梓國小,臺南市新營區建業路191號,120.298678,23.298689,300,"震災
"
新營區,公誠國小,臺南市新營區公誠街5號,120.318509,23.305096,650,水災   震災
新營區,新生國小,臺南市新營區姑爺52號,120.258224,23.275868,550,"水災   震災
"
新營區,新民國小,臺南市新營區公園路一段136號,120.306192,23.307027,500,"水災   震災
"
新營區,土庫國小,臺南市新營區土庫71之1號,120.345279,23.319743,300,"震災
"
新營區,新橋國小,臺南市新營區鐵線里1號,120.277498,23.270255,400,"震災
"
新營區,新進國小,臺南市新營區中正路41號,120.316394,23.315223,850,"水災   震災
"
鹽水區,臺南市鹽水區鹽水國中,三福路63號,120.263762,23.321942,530,"水災   震災
"
鹽水區,臺南市鹽水區鹽水國小,朝琴路130號,120.271058,23.3227,390,"水災   震災
"
鹽水區,臺南市鹽水區月津國小,月津路16號,120.265897,23.316237,770,"水災   震災
"
鹽水區,臺南市鹽水區岸內國小,新岸內96號,120.260768,23.329331,200,"水災   震災
"
鹽水區,臺南市鹽水區竹埔國小,92-1號,120.246102,23.26713,340,"水災   震災
"
鹽水區,臺南市鹽水區?頭港國小,202號,120.250011,23.254521,320,"水災   震災
"
鹽水區,臺南市鹽水區歡雅國小,31號,120.243333,23.292785,300,"水災   震災
"
鹽水區,臺南市鹽水區老人文康中心,治水路254-1號,120.263029,23.318145,170,"水災   震災
"
鹽水區,臺南市鹽水區仁光國小,117號,120.257351,23.300005,220,"水災   震災
"
鹽水區,文昌里-孫厝活動中心,孫厝寮76-1號,120.27678,23.21589,50,"震災
"
白河區,白河商工,臺南市白河區永安里新興路528號,120.416301,23.353314,265,水災、震災、土石流
白河區,河東國小,臺南市白河區河東里河東83之1號,120.437345,23.34495,405,水災、震災、土石流
白河區,仙草國小關嶺分校,臺南市白河區關嶺里關嶺94之3號,120.507036,23.330987,1033,"水災、震災
、土石流"
白河區,白河國中,臺南市白河區昇安里三間厝220號,120.422343,23.361955,250,水災、震災、土石流
麻豆區,曾文農工,臺南市麻豆區南勢1號,120.2627,23.1872,1300,"震災
"
麻豆區,麻豆國中 學生活動中心,臺南市麻豆區南勢36號,120.2599,23.1834,400,"震災
"
佳里區,佳里國小,臺南市佳里區安西里15鄰公園路445號,120.172651,23.164288,1750,"水災、震災
"
佳里區,仁愛國小,臺南市佳里區鎮山里13鄰仁愛路307號,120.179335,23.153466,1700,"水災、震災
"
佳里區,信義國小,臺南市佳里區忠仁里11鄰信義一街336號,120.182088,23.159875,1200,"震災
"
佳里區,子龍國小,臺南市佳里區子龍里14鄰潭墘5號,120.201599,23.174091,1680,"水災、震災
"
佳里區,佳興國小,臺南市佳里區佳化里13鄰佳里興214號,120.191943,23.1896,1440,"水災、震災
"
佳里區,延平國小,臺南市佳里區下營里15鄰頂?136號,120.153007,23.17883,1200,"震災
"
佳里區,通興國小,臺南市佳里區塭內里14鄰埔頂5-1號,120.157452,23.14498,1200,"震災
"
佳里區,塭內國小,臺南市佳里區塭內里3鄰塭子內40號,120.165153,23.125363,1200,"震災
"
佳里區,佳里國中,臺南市佳里區南勢里16鄰安南路523號,120.171027,23.157855,3600,"水災、震災
"
佳里區,佳興國中,臺南市佳里區民安里10鄰新宅34號之1,120.195948,23.183254,1600,"震災
"
佳里區,北門農工,臺南市佳里區六安里9鄰六安117號,120.180619,23.177247,2470,"水災 、震災
"
佳里區,北門高中,臺南市佳里區六安里15鄰六安269號,120.176647,23.168209,2460,"水災 、震災
"
佳里區,蚶寮社區活動中心,臺南市佳里區塭內里20鄰蚶寮51-1號,120.156015,23.125939,550,"水災、震災
"
佳里區,興化社區活動中心,臺南市佳里區佳興里7鄰佳里興545-11號,120.186034,23.187608,350,"水災、震災
"
佳里區,佳福寺,臺南市佳里區營溪里5鄰營頂102號,120.191697,23.198697,300,"震災
"
新化區,新化區公所三樓展演廳,臺南市新化區中山路130號,120.3108,23.0382,100,"水災、震災
"
新化區,新化區體育公園,臺南市新化區公園路110號,120.3067,23.0295,1000,"震災
"
新化區,大新國小大禮堂,臺南市新化區太平街176 號,120.2991,23.0379,150,"震災
"
新化區,新化果菜市場停車場,果菜市場停車場(新化區中山路130號旁),120.3093,23.038,150,"震災
"
新化區,唪口順天宮,臺南市新化區唪口142號之26,120.2901,23.0407,200,"震災
"
新化區,保生大帝廟,臺南市新化區洋子127號,120.2959,23.0334,150,"震災
"
新化區,新化區接天寺,臺南市新化區那拔林500號,120.3482,23.0646,400,"震災
"
新化區,那拔國小操場,臺南市新化區那拔里54號,120.3497,23.0677,300,"震災
"
新化區,新化區聯合活動中心,臺南市新化區民生路269號,120.307144,23.041934,290,"水災、震災
"
善化區,善化區文康育樂中心,臺南市善化區進學路150號,120.2895,23.1377,560,"水災、震災
"
善化區,善化國小,臺南市善化區進學路63號,120.2874,23.1357,400,"水災、震災
"
善化區,陽明國小,臺南市善化區胡家300號,120.2728,23.1429,400,"水災、震災
"
善化區,大同國小,臺南市善化區六分寮200號,120.306,23.1555,500,"水災、震災
"
善化區,小新國小,臺南市善化區小新79號,120.3117,23.125,360,"水災、震災
"
善化區,田寮里活動中心,臺南市善化區田寮里六分寮168之9號,120.3041,23.1533,300,"水災、震災
"
善化區,茄拔國小,臺南市善化區茄拔280號,120.3248,23.1384,350,"水災、震災
"
善化區,大成國小,臺南市善化區大成路385號,120.2952,23.1287,420,"水災、震災
"
善化區,牛庄里活動中心,臺南市善化區牛庄138號,120.3171,23.1385,170,"水災、震災
"
善化區,六德里活動中心,臺南市善化區六分寮227之1號,120.3041,23.1553,140,"水災、震災
"
善化區,文昌社區活動中心,臺南市善化區光復路175-1號,120.2907,23.1273,110,"水災、震災
"
善化區,溪美社區活動中心,臺南市善化區溪美71號,120.2845,23.1511,300,"水災、震災
"
善化區,胡家里活動中心,臺南市善化區胡厝寮42-2號,120.2722,23.1456,270,"水災、震災
"
善化區,善化區老人文康活動中心,臺南市善化區茄拔271號,120.3248,23.1387,440,"水災、震災
"
學甲區,學甲區公所,臺南市學甲區華宗路313號,120.182334,23.230469,150,"水災、震災
"
學甲區,東陽國小活動中心,臺南市學甲區華宗路260號,120.183064,23.228634,500,"水災、震災
"
學甲區,中洲國小,臺南市學甲區中洲645號,120.160008,23.245485,350,"水災、震災
"
柳營區,臺南市柳營區公所,柳營區士林里柳營路二段59號,120.311665,23.278388,50,"水災 、震災
"
柳營區,臺南市柳營區圖書館,柳營區士林里柳營路二段59號,120.312312,23.277816,50,"水災、震災
"
柳營區,臺南市柳營區果毅後多功活動中心,柳營區神農里284-5號,120.367483,23.25755,200,"水災、震災
"
柳營區,臺南市柳營區柳營聯合活動中心,柳營區東昇里中山西路二段19巷35號,120.317574,23.27708,500,"水災、震災
"
柳營區,臺南市柳營區小腳腿多功活動中心,柳營區篤農里篤農226-1號,120.368054,23.291056,300,"水災、震災
"
柳營區,臺南市柳營區柳營國中運動場,柳營區東昇里中山東路二段956號,120.32975,23.290371,600,"震災
"
柳營區,臺南市柳營區太康國小運動場,柳營區太康里太康4-1號,120.3294,23.2904,200,"震災
"
柳營區,臺南市柳營區重溪國小運動場,柳營區重溪里義士路2段2號,120.364628,23.285872,600,"震災
"
柳營區,臺南市柳營區果毅國小運動場,柳營區果毅里果毅61號,120.372166,23.25791,600,"震災
"
柳營區,臺南市柳營區柳營國小運動場,柳營區士林里柳營路一段755號,120.312612,23.275374,400,"震災
"
柳營區,敏惠醫護專科學校,柳營區中山東路二段1116號,120.329605,23.279959,1500,"水災、震災
"
後壁區,臺南市後壁區公所總站,後壁129號,120.362,23.3658,60,"水災、震災
"
後壁區,臺南市後壁區新嘉國小,新嘉210-2號,120.316,23.3444,300,"水災、震災
"
後壁區,臺南市後壁區菁寮國小,菁寮里墨林282號,120.339,23.3787,300,"水災、震災
"
後壁區,臺南市後壁區新東國小,長短樹里下長81號,120.3095,23.3727,300,"水災、震災
"
後壁區,臺南市後壁區樹人國民小學,福安里烏樹145號,120.377244,23.328941,300,水災、震災
後壁區,臺南市後壁區安溪國民小學,長安里5號,120.360852,23.33288,300,水災、震災
後壁區,臺南市後壁區後壁國民小學,後壁里195號,120.360852,23.33288,350,水災、震災
東山區,東原老人活動中心,臺南市東山區東原里8號,120.4397,23.2828,150,水災、震災、土石流
東山區,東山國小,臺南市東山區青葉路一段132號,120.4048,23.3234,800,"水災、震災
"
東山區,東山國中,臺南市東山區青葉路二段49號,120.4031,23.3166,1000,"水災、震災
"
東山區,青山國小,臺南市東山區青山里16號,120.46741,23.280603,45,"震災
"
下營區,下營國小活動中心,臺南市下營區中山路二段72號,120.2606,23.2322,400,"水災、震災
"
下營區,下營地區民眾活動中心,臺南市下營區大孝街1號,120.2625,23.2418,200,"水災、震災
"
下營區,下營國中活動中心,臺南市下營區中山路一段412號,120.2715,23.2387,550,"水災、震災
"
下營區,大屯社區活動中心,臺南市下營區大屯寮23之2號,120.2388,23.2343,160,"水災、震災
"
下營區,中營地區民眾活動中心,臺南市下營區茅港尾81-1號,120.2839,23.22,260,"水災、震災
"
下營區,中營國小,臺南市下營區中營270號,120.2764,23.213,200,"水災、震災
"
下營區,賀建國小,臺南市下營區麻豆寮49號,120.2969,23.2541,200,"水災、震災
"
六甲區,六甲里活動中心,臺南市六甲區信義街238巷14弄17號,120.3493,23.2295,200,"水災、震災
"
六甲區,六甲區多功能運動公園,臺南市六甲區和平街479號,120.344149,23.232106,500,"震災
"
官田區,臺南市官田區官田國民中學,官田區隆田里三民路29號,120.3476,23.2082,1205,"水災、震災
"
官田區,臺南市官田區嘉南國民小學,六甲區龍湖里珊瑚路301號,120.3632,23.2141,230,"水災、震災
"
官田區,臺南市官田區渡拔國民小學,臺南市官田區拔林77號之1,120.3266,23.1708,390,"水災、震災
"
官田區,臺南市官田區體育公園,臺南市官田區隆田里三民路25號,120.315519,23.193074,250,"震災
"
官田區,臺南市官田區公所,官田區隆田里中山路一段132號,120.315519,23.193074,30,"水災、震災
"
大內區,大內國小,大內區 大內里63號,120.3605,23.119,230,"水災、震災
"
大內區,環湖社區活動中心,"大內區環湖里
57號",120.4182,23.1476,65,"水災、震災
"
大內區,頭社社區活動中心,"大內區頭社里
10-1號",120.3848,23.1433,35,"水災、震災
"
大內區,曲溪社區活動中心,"大內區曲溪里
51-2號",120.3875,23.1182,25,"水災、震災
"
大內區,二溪社區活動中心,"大內區二溪里
198-1號",120.3926,23.1226,40,"水災、震災
"
大內區,大內國中,"大內區內江里
319之1號",120.3653,23.1128,800,"震災
"
大內區,石子瀨社區活動中心,"大內區石城里
114-66號",120.3544,23.1222,20,"震災
"
西港區,永樂里活動中心,臺南市西港區大塭寮59-35號,120.179,23.1041,170,"水災、震災
"
西港區,港東里活動中心,臺南市西港區烏竹林58-5號,120.2161,23.1236,190,"水災、震災
"
西港區,慶安社區活動中心,臺南市西港區新興街107巷32號,120.1996,23.1236,600,"水災、震災
"
西港區,西港區老人文康活動中心,臺南市西港區後營1-2號,120.2159,23.1394,460,"水災、震災
"
西港區,後營國小金砂分校,臺南市西港區砂凹子10-1號,120.2056,23.1566,160,"水災、震災
"
西港區,成功國小,臺南市西港區竹林11號,120.1807,23.1214,650,"水災、震災
"
西港區,新復里活動中心,臺南市西港區溪埔寮19-9號,120.1846,23.0852,160,"水災、震災
"
七股區,七股國小,臺南市七股區大埕395號,120.1384,23.1392,70,"水災、風災、震災、海嘯
"
七股區,義合里多功能活動中心,臺南市七股區義合72之2號,120.1382,23.1013,70,水災、風災、震災
七股區,鹽埕社區活動中心,臺南市七股區鹽埕165-1號,120.0891,23.1512,70,水災、風災、震災
七股區,龍山里漁民活動中心,臺南市七股區龍山211-33號,120.1146,23.1371,160,水災、風災、震災、海嘯
七股區,大潭里漁民活動中心,臺南市七股區台潭28-6號,120.1327,23.1881,100,水災、風災、震災
七股區,大埕里漁民活動中心,臺南市七股區大埕271-1號,120.1421,23.1452,60,水災、風災、震災
七股區,城內里活動中心,臺南市七股區城內16-3號,120.1085,23.1546,50,水災、風災、震災
七股區,樹林社區活動中心,臺南市七股區樹林5-8號,120.1572,23.1139,70,水災、風災、震災
七股區,行政院國軍退除役官兵輔導委員會佳里榮譽國民之家,臺南市七股區三股147號,120.1231,23.1043,21,"水災、震災、風災
"
七股區,昭明國中,臺南市七股區大埕315號,120.1422,23.1422,170,震災、風災、水災
七股區,三股國小,臺南市七股區三股100號,120.116949,23.102173,300,"震災
"
七股區,後港國小,臺南市七股區台潭1號,120.134384,23.187513,500,"震災
"
七股區,後港國中,臺南市七股區頂潭93號,120.134441,23.188062,500,"震災
"
七股區,竹橋國小,臺南市七股區竹橋里130號,120.982025,23.973875,200,"震災
"
將軍區,老人文康活動中心,臺南市將軍區忠嘉里忠興180-50號,120.160491,23.201417,200,"水災、震災、海嘯
"
將軍區,漚汪國民小學,臺南市將軍區長榮里長榮4號,120.159668,23.198713,300,水災、震災、海嘯
將軍區,苓和國民小學,臺南市將軍區苓仔寮里苓和132號,120.161362,23.219937,300,"水災、震災、海嘯
"
將軍區,將軍國民中學,臺南市將軍區忠嘉里昌平1-1號,120.151148,23.206893,300,"水災、震災、海嘯
"
將軍區,將軍國民小學,臺南市將軍區將軍里將貴58號,120.13653,23.215416,300,"水災、震災、海嘯
"
北門區,北門區老人文康活動中心,臺南市北門區北門里66號,120.1262,23.2663,100,"水災、震災、海嘯
"
北門區,北門區公所 (2樓會議室),臺南市北門區北門里108號,120.1253,23.2677,50,"水災、震災、海嘯
"
北門區,北門國小    (活動中心及操場),臺南市北門區北門里3號,120.1251,23.2653,2350,水災、震災
北門區,蚵寮國小  (禮堂及操場),臺南市北門區蚵寮里791號,120.1374,23.2866,600,"水災、震災
"
